k_hat,basis,n_dof,jump_capable,n_q_per_segment,cholesky_ok,seconds_construct,seconds_solve,seconds,e_lam_vs_uniform_mode1,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4,e_lam_mode5,e_lam_mode6
100.0,enriched_split,8,True,16,True,2.2368039935827255e-05,0.00029054214246571064,0.0003129101824015379,0.020619545002909273,2.3609380968961254e-10,2.2048852951482074e-05,0.0005681988111950538,0.09508523601793707,0.25009782826616644,1.6814982074900338
100.0,enriched_split_orthonormalized,8,True,16,True,0.06109385401941836,0.00033131008967757225,0.06142516410909593,0.02061954500431414,2.3465936802807145e-10,2.2048848677441606e-05,0.0005681988490817833,0.09508523660267706,0.2500978427410811,1.6814982438273633
100.0,hermite_fem_split_rotation,81,True,,True,1.0880175977945328e-06,0.026143426075577736,0.02614451409317553,0.02061954711337413,1.918804062341837e-09,2.6326508686025864e-07,2.0478040999151643e-06,7.77332072656283e-06,2.125129138888513e-05,4.780190670024187e-05
100.0,monomial_raw,12,False,24,True,1.0096002370119095e-05,0.0005875648930668831,0.0005976608954370022,7.515886572281661e-12,0.021053662181343226,0.00019237902243656425,0.006154324703067877,0.016229607955218082,0.013764727246872421,0.004839349716653171
100.0,monomial_orthonormalized,12,False,24,True,0.011392538901418447,0.0003880129661411047,0.011780551867559552,2.786579679340822e-11,0.021053662202121577,0.00019237908211972956,0.0061543247659281534,0.01622959636286857,0.013785495197388578,0.004697057186631754
100.0,shifted_legendre,12,False,24,True,0.00030961399897933006,0.0007591159082949162,0.0010687299072742462,1.846914244411064e-11,0.021053662154811116,0.00019237895084313686,0.006154324772399229,0.0162295963636979,0.01378549520421695,0.004697057212270822
100.0,integrated_legendre,12,False,24,True,0.0007439639884978533,0.001023497898131609,0.0017674618866294622,1.807514250182493e-11,0.021053662192124793,0.00019237903469648758,0.006154324771453256,0.01622959636459969,0.013785495203629344,0.004697057212907793
100.0,chebyshev,12,False,24,True,0.000216607004404068,0.0006200280040502548,0.0008366350084543228,8.085763950511101e-12,0.021053662165413104,0.0001923789755980036,0.0061543247616266845,0.01622959636428038,0.013785495203528886,0.0046970572122251135
100.0,bspline_C0,12,True,24,True,0.00030943797901272774,0.0016001991461962461,0.0019096371252089739,0.020615478308656766,4.152549153271894e-06,0.00017718411742931328,0.001453678627640951,0.0057831202883974215,0.017797613570444522,0.0523483403445359
100.0,enriched_split,12,True,24,True,2.9583927243947983e-05,0.0003866699989885092,0.00041625392623245716,0.0206195452317968,2.3873616361457476e-12,7.71538136448813e-12,1.962774510439709e-08,2.61763883666051e-05,0.00023654207207037672,0.030182095349292223
100.0,enriched_split_orthonormalized,12,True,24,True,0.02867112192325294,0.0003851179499179125,0.029056239873170853,0.020619545233047053,1.1107863168178132e-12,5.305927497174277e-12,1.9630416784848696e-08,2.6126208553548373e-05,0.00023262978735209393,0.030151071687916878
100.0,hermite_fem_split_rotation,81,True,,True,1.0880175977945328e-06,0.001223752973601222,0.0012248409911990166,0.02061954711337413,1.918804062341837e-09,2.6326508686025864e-07,2.0478040999151643e-06,7.77332072656283e-06,2.125129138888513e-05,4.780190670024187e-05
100.0,monomial_raw,16,False,32,False,9.327894076704979e-06,0.0006522040348500013,0.0006615319289267063,nan,nan,nan,nan,nan,nan,nan
100.0,monomial_orthonormalized,16,False,32,True,0.02884737798012793,0.0004886528477072716,0.029336030827835202,1.9649360506093828e-10,0.021053662374299616,0.00019237957544639218,0.0061543247618348704,0.016229447540676407,0.013783096748481835,0.0035143768025646623
100.0,shifted_legendre,16,False,32,True,0.00046580610796809196,0.0010718170087784529,0.0015376231167465448,1.1469436029623636e-10,0.021053662290778197,0.00019237934912787525,0.006154324798868182,0.016229447535273882,0.013783096762282064,0.0035143766095527672
100.0,integrated_legendre,16,False,32,True,0.0011847291607409716,0.0014963110443204641,0.0026810402050614357,1.7996558049441248e-10,0.021053661989914586,0.000192378706502898,0.006154324773839583,0.016229447544426095,0.013783096765011788,0.003514376607469177
100.0,chebyshev,16,False,32,True,0.0003334700595587492,0.0009006508626043797,0.0012341209221631289,1.8508082628049162e-11,0.02105366219256685,0.00019237906339950492,0.006154324780746863,0.016229447526939614,0.013783096763135404,0.003514376606389537
100.0,bspline_C0,16,True,32,True,0.00039231800474226475,0.002795950975269079,0.003188268980011344,0.02061874714323793,8.1489363313219e-07,3.342463828310039e-05,0.0002627673901437708,0.0010450772137116852,0.0033008499383448834,0.009027170965575398
100.0,enriched_split,16,True,32,False,3.760005347430706e-05,0.00048241298645734787,0.0005200130399316549,nan,nan,nan,nan,nan,nan,nan
100.0,enriched_split_orthonormalized,16,True,32,True,0.021708396961912513,0.0004964768886566162,0.02220487385056913,0.020619545220196794,1.4231592064145383e-11,5.1397154628009645e-11,7.168981565870417e-10,3.047012277018042e-08,1.716719685561921e-07,1.6606508927281878e-05
