m,basis,n_dof,kappa_M_raw,kappa_K_raw,kappa_M_massnorm,kappa_K_massnorm,kappa_K_equilibrated,cholesky_ok,kappa_A_transformed,Lam_fp64,backward_error,Lam_highprec,highprec_path,Lam_absdiff_rel
1,chebyshev,16,6502812.876925531,747697.6934444103,5729048.147460699,335.9603815228173,394.9364805994702,True,83624350.87613513,95.64573262498772,1.6502643110943164e-13,95.64573259949775,cholesky,2.665039701962358e-10
1,bspline_p3,15,23.512207245113583,207424.2354961615,19.551753736476595,333428.00590649655,114328.82403478074,True,2797628.973975328,95.64614516851873,2.8396083836475187e-16,95.64614516537384,cholesky,3.2880473800026795e-11
1,radial_hermite_fem,80,3625666.647454619,169418071.81234762,29.17299554003553,112299304.49116245,15289733.044754751,True,850691299.0862056,95.64573773585019,6.809722907262935e-16,95.64573873975154,cholesky,1.0496038394186584e-08
2,monomial_raw,6,1867911832.6897235,10649823.162306203,1501329183.179512,12763635.82648158,10116457.105110977,True,82893.23558490971,124.71341719437879,1.510308311968494e-16,124.71341719438385,cholesky,4.056551726689224e-14
2,monomial_orthonormalized,6,1.8641737665354592,80620.30882587722,1.82126106490205,99118.87829336284,71.39646415489634,True,82893.23457103017,124.71341719440358,2.7777872925276984e-17,124.71341719437716,cholesky,2.1182948482909189e-13
2,shifted_legendre,6,29491.701750891953,982.8397624719249,59710.68572605976,30.473204658003873,29.04921629130588,True,82893.23457110468,124.71341719431331,2.259006298766517e-14,124.7134171943772,cholesky,5.123105776178574e-13
2,integrated_legendre,6,2260223.325526223,270.4607613264657,3122.7823149672367,3612.6302449881264,12.423606258815168,True,82893.23457102991,124.71341719436664,7.883313193316266e-15,124.71341719437727,cholesky,8.523316549336234e-14
2,chebyshev,6,34174.71076546961,1916.9948973496273,35287.188182910366,20.75818522963261,17.96391478186635,True,82893.23457085277,124.71341719435972,3.9065820177020735e-15,124.71341719437719,cholesky,1.40042193036554e-13
2,bspline_p3,5,18.314429161603638,1726.7515585939395,16.75245068167506,1891.3593736142718,1576.3710482677445,True,15375.785595257026,124.86040362038698,3.819447622500097e-16,124.86040362035668,cholesky,2.426513239932463e-13
2,radial_hermite_fem,80,3625666.647454619,133130179.28002033,29.17299554003553,86131100.87535727,11728409.18990954,True,652438501.7509084,124.7119300012206,7.418032178475387e-16,124.71193071495229,cholesky,5.723042615883286e-09
2,monomial_raw,8,3070182333731.297,9524802444.326824,2286399191801.1484,11306263572.132992,9573068201.452194,True,537184.7028968221,124.71192558723793,1.190993995214904e-15,124.7119255874463,cholesky,1.6708407131673877e-12
2,monomial_orthonormalized,8,2.0112630161981646,536813.8037515802,1.9784751545807346,667628.9212480398,136.72280358117064,True,537193.9812142799,124.71192558754652,9.03507748095965e-18,124.71192558749185,cholesky,4.383635152119344e-13
2,shifted_legendre,8,129918.1620919533,4467.346337659897,310408.4134820021,84.33450532671625,86.28764704389027,True,537193.9811959947,124.71192558729273,2.978305632726131e-14,124.7119255874919,cholesky,1.5971154222018376e-12
2,integrated_legendre,8,19183973.1774154,391.9670218878629,13679.693812169075,13663.744528215144,12.423783911599987,True,537193.981193489,124.71192558753928,2.9521294960248993e-14,124.71192558749196,cholesky,3.7945165210702886e-13
2,chebyshev,8,150752.863749981,9451.206286220915,152902.4568249353,46.29199464952937,42.95405774115895,True,537193.981194415,124.71192558729534,1.7203858217991814e-14,124.71192558749189,cholesky,1.5760347748625584e-12
2,bspline_p3,7,21.18433042187953,7240.975470066661,18.55984939841392,9019.178899102079,5824.802502437688,True,75022.15206243351,124.74452848437637,6.005778519769292e-16,124.7445284843309,cholesky,3.6454292337445863e-13
2,radial_hermite_fem,80,3625666.647454619,133130179.28002033,29.17299554003553,86131100.87535727,11728409.18990954,True,652438501.7509084,124.7119300012206,7.418032178475387e-16,124.71193071495229,cholesky,5.723042615883286e-09
2,monomial_raw,10,4186349411285620.0,9164267744618.791,2895481076347426.0,10805653107087.656,9557408369192.996,True,2386572.9620371587,124.71191397475926,2.6566621569277213e-15,124.7119139761583,cholesky,1.1218209962877992e-11
2,monomial_orthonormalized,10,2.1060189247125853,2449096.427830009,2.0807938035773206,3065261.6989232595,281.5966149858736,True,2404051.0214502276,124.71191397560905,2.556661203739244e-17,124.71191397650907,cholesky,7.216760876971361e-12
2,shifted_legendre,10,428047.1146550058,15604.01211601339,1122511.4633290234,191.60946076822003,210.56065296093814,True,2404051.02311035,124.71191397658933,4.758670525499078e-15,124.71191397650904,cholesky,6.438144246267854e-13
2,integrated_legendre,10,105076307.5740789,515.4515596405937,43938.42313689919,36832.38336799834,12.423786080516019,True,2404051.023062097,124.71191397650796,5.5548717070314e-15,124.71191397650915,cholesky,9.571754277637155e-15
2,chebyshev,10,493546.0990693874,34864.35616974896,481848.71538301127,86.80292332863935,86.45395755385535,True,2404051.0230726628,124.71191397665031,5.213722182668411e-15,124.71191397650904,cholesky,1.1327715389760837e-12
