m,basis,n_dof,cholesky_ok,seconds,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4
3,chebyshev,8,True,0.0004248300101608038,3.458503900855042e-07,5.570613259934824e-07,7.741907272943117e-06,0.002917416509921361
3,bspline_p3,7,True,0.0008458041120320559,0.0003461395186532511,0.0010147097252064567,0.005668116014947444,0.02670762186855964
3,radial_hermite_fem,80,True,0.05212886515073478,1.8411947113912868e-07,5.203355932944919e-07,2.28667532658539e-06,7.963834061634386e-06
3,monomial_raw,10,True,0.0003003820311278105,2.956175872093038e-09,7.298344472679897e-09,1.842702653809685e-08,2.4168169224222247e-05
3,monomial_orthonormalized,10,True,0.0003040940500795841,2.9324542349024995e-09,7.2629802736498636e-09,1.8386659256040797e-08,2.4207666931695583e-05
3,shifted_legendre,10,True,0.0006823008880019188,2.9266578687007165e-09,7.243611216466187e-09,1.8385938748305537e-08,2.420766701127122e-05
3,integrated_legendre,10,True,0.0010646351147443056,2.925872977122819e-09,7.2411076856505874e-09,1.8386701758420667e-08,2.4207667541017604e-05
3,chebyshev,10,True,0.0005804928950965405,2.924957094218327e-09,7.238233550689292e-09,1.8385493027695778e-08,2.420766725826573e-05
3,bspline_p3,9,True,0.0013181688264012337,0.00011505137163734252,0.00032949639518490734,0.001639584062081155,0.006983971882075585
3,radial_hermite_fem,80,True,0.13678275095298886,1.8411947113912868e-07,5.203355932944919e-07,2.28667532658539e-06,7.963834061634386e-06
3,monomial_raw,12,True,0.0002835828345268965,1.3722163090902773e-11,1.0642486786397207e-10,1.6736226798601976e-09,6.029850080329197e-08
3,monomial_orthonormalized,12,True,0.0002719820477068424,2.0837715242138854e-11,4.937063447707825e-11,1.9506134613616583e-10,1.2739513753508393e-07
3,shifted_legendre,12,True,0.0007697721011936665,1.80823197297792e-11,4.0800160462944295e-11,1.9896195585041627e-10,1.273951610977401e-07
3,integrated_legendre,12,True,0.0012713060714304447,2.8614444940600576e-11,7.634604520999292e-11,1.9623736850784905e-10,1.2739566108076898e-07
